cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,class,Gill-Color
,y,G,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,k,y,d,e,n
,s,g,f,,f,w,b,k,t,e,f,f,w,w,p,w,8,e,k,a,g,e,k
f,f,W,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,n,s,g,e,k
f,s,n,f,n,f,w,b,h,t,e,f,f,w,w,p,w,8,e,n,a,g,e,h
f,f,w,f,n,f,w,b,p,t,e,s,s,w,w,p,w,8,e,k,s,g,e,p
f,f,n,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,a,g,e,n
f,s,g,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,a,g,e,k
,s,n,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,s,g,e,n
x,f,n,t,,f,c,b,p,t,b,s,s,w,w,p,w,8,p,n,y,d,e,p
x,s,n,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,n,s,g,e,k
x,f,n,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,k,a,g,e,k
f,s,w,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,n,a,g,e,p
x,f,n,f,n,f,c,n,p,e,e,s,s,w,w,p,w,8,p,k,y,u,e,p
,s,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,8,p,k,s,u,p,p
f,s,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,g,p,p
x,f,n,t,n,f,c,b,u,t,b,s,s,w,g,p,w,8,p,k,v,d,e,u
,s,w,f,n,f,w,b,n,t,e,f,s,w,w,p,w,8,e,n,a,g,e,n
f,f,g,f,n,,w,b,k,t,e,s,s,w,w,p,w,8,e,n,a,g,e,k
x,s,n,f,,,w,b,h,t,e,s,s,w,w,p,w,o,e,n,s,g,e,h
x,f,n,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,n,s,g,e,h
x,s,g,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,k,s,g,e,h
f,f,g,f,,f,w,b,n,t,e,f,f,w,w,p,w,o,e,k,a,g,e,n
f,s,n,f,,f,w,b,p,t,e,s,f,w,w,p,w,8,e,n,s,g,e,p
f,s,g,f,,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,a,g,e,n
x,f,E,t,,f,c,b,n,t,b,s,s,p,p,p,w,8,p,k,v,d,e,n
f,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,8,p,n,v,u,p,k
,f,n,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,n,s,g,e,h
x,f,n,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,n,v,d,e,n
f,s,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,u,p,k
,s,w,t,,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,g,p,k
f,s,w,t,p,,c,n,n,e,e,s,s,w,w,p,w,8,p,k,s,u,p,n
f,f,w,f,,f,w,b,h,t,e,s,f,w,w,p,w,8,e,n,a,g,e,h
,s,n,f,,f,w,b,h,t,e,f,s,w,w,p,w,8,e,n,s,g,e,h
f,f,n,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,k,a,g,e,h
x,s,n,f,n,,w,b,h,t,e,s,f,w,w,p,w,8,e,k,a,g,e,h
f,s,n,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,k,a,g,e,k
f,s,W,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,g,p,p
f,s,w,t,p,,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,g,p,n
f,s,G,f,,f,w,b,p,t,e,f,f,w,w,p,w,o,e,n,a,g,e,p
x,s,n,f,n,,w,b,k,t,e,f,s,w,w,p,w,8,e,k,a,g,e,k
x,s,N,f,,f,w,b,h,t,e,f,f,w,w,p,w,8,e,n,s,g,e,h
x,f,n,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,k,v,d,e,w
x,f,n,t,n,f,c,b,n,t,b,s,s,g,w,p,w,8,p,n,v,d,e,n
f,f,w,f,,f,w,b,p,t,e,f,s,w,w,p,w,o,e,k,a,g,e,p
f,f,w,f,n,,w,b,n,t,e,f,s,w,w,p,w,o,e,n,s,g,e,n
x,f,w,f,,,w,b,k,t,e,f,f,w,w,p,w,8,e,k,a,g,e,k
,s,y,t,l,,c,b,n,e,c,s,s,w,w,p,w,8,p,n,n,m,e,n
f,s,G,f,n,f,w,b,n,t,e,f,f,w,w,p,w,8,e,n,a,g,e,n
,s,w,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,n,s,g,e,h
x,f,N,f,n,,w,b,n,t,e,s,s,w,w,p,w,o,e,n,s,g,e,n
,f,n,f,n,f,w,b,p,t,e,f,s,w,w,p,w,8,e,n,a,g,e,p
,s,w,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,s,g,e,n
x,s,n,f,n,,w,b,h,t,e,f,f,w,w,p,w,o,e,k,s,g,e,h
x,s,G,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,n,s,g,e,h
x,s,g,f,,,w,b,p,t,e,s,f,w,w,p,w,8,e,k,s,g,e,p
f,s,w,f,n,f,w,b,p,t,e,s,s,w,w,p,w,8,e,n,s,g,e,p
,s,n,f,n,f,w,b,n,t,e,f,f,w,w,p,w,8,e,k,a,g,e,n
,f,g,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,n,s,g,e,p
f,f,w,f,n,f,w,b,h,t,e,s,s,w,w,p,w,8,e,k,s,g,e,h
x,f,w,f,n,,w,b,n,t,e,s,s,w,w,p,w,8,e,n,a,g,e,n
,f,g,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,k,s,g,e,h
x,f,g,f,,f,w,b,p,t,e,s,f,w,w,p,w,o,e,k,a,g,e,p
x,y,y,t,,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,g,e,g
x,s,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,g,e,n
x,s,w,f,n,,w,b,p,t,e,s,f,w,w,p,w,8,e,k,a,g,e,p
x,y,n,t,p,,c,n,k,e,e,s,s,w,w,p,w,8,p,k,s,g,p,k
,f,W,f,,,w,b,k,t,e,s,f,w,w,p,w,o,e,n,s,g,e,k
x,s,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,s,u,p,w
x,y,g,t,n,f,c,b,n,t,b,s,s,p,g,p,w,8,p,n,v,d,e,n
f,s,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,v,u,p,w
,y,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,8,p,n,s,g,e,g
x,y,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,m,e,n
,y,n,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,y,p,e,n
x,s,w,f,,f,w,b,n,t,e,s,f,w,w,p,w,o,e,n,s,g,e,n
f,s,N,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,k,s,g,e,p
x,s,g,f,,f,w,b,p,t,e,s,s,w,w,p,w,o,e,k,a,g,e,p
x,s,w,f,,,w,b,n,t,e,f,s,w,w,p,w,8,e,k,a,g,e,n
f,s,n,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,n,s,g,e,h
,s,n,f,,f,w,b,n,t,e,s,s,w,w,p,w,o,e,k,a,g,e,n
x,s,g,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,k,s,g,e,n
b,s,w,t,,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,g,e,n
x,s,g,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,k,s,g,e,p
x,s,y,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,m,e,w
,y,w,t,,f,c,n,n,e,e,s,s,w,w,p,w,8,p,k,v,g,p,n
f,s,w,f,n,,w,b,p,t,e,f,f,w,w,p,w,8,e,k,s,g,e,p
f,s,n,f,,,w,b,h,t,e,f,f,w,w,p,w,o,e,k,s,g,e,h
f,s,g,f,,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,s,g,e,n
f,f,G,f,n,,w,b,h,t,e,f,s,w,w,p,w,8,e,n,s,g,e,h
,y,n,t,,f,c,b,p,t,b,s,s,g,w,p,w,8,p,n,y,d,e,p
x,f,n,t,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,k,y,d,e,n
x,y,y,t,,,c,b,n,e,r,s,y,w,w,p,w,o,p,n,y,p,e,n
,f,g,t,,,c,b,w,t,b,s,s,p,p,p,w,o,p,k,y,d,e,w
f,f,g,f,n,,w,b,p,t,e,f,f,w,w,p,w,o,e,n,a,g,e,p
f,s,n,f,n,,w,b,h,t,e,f,s,w,w,p,w,o,e,k,s,g,e,h
,s,w,f,n,,w,b,n,t,e,s,f,w,w,p,w,8,e,n,a,g,e,n
x,f,G,f,,f,w,b,k,t,e,f,s,w,w,p,w,8,e,n,a,g,e,k
f,s,w,f,,f,w,b,n,t,e,f,f,w,w,p,w,8,e,k,s,g,e,n
f,f,g,f,,f,w,b,n,t,e,f,s,w,w,p,w,o,e,n,a,g,e,n
x,f,g,f,,f,w,b,k,t,e,s,s,w,w,p,w,8,e,n,a,g,e,k
x,s,n,f,n,f,w,b,k,t,e,s,f,w,w,p,w,8,e,n,a,g,e,k
x,f,n,t,,f,c,b,w,t,b,s,s,w,g,p,w,8,p,k,y,d,e,w
f,s,w,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,s,g,e,k
f,f,n,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,k,s,g,e,n
f,y,n,t,p,,c,n,w,e,e,s,s,w,w,p,w,o,p,k,s,g,p,w
x,f,n,t,n,,c,b,n,t,b,s,s,p,w,p,w,o,p,k,y,d,e,n
x,f,n,f,,f,w,b,p,t,e,f,f,w,w,p,w,8,e,k,s,g,e,p
f,f,w,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,s,g,e,n
f,y,n,t,,,c,n,n,e,e,s,s,w,w,p,w,8,p,n,v,u,p,n
f,f,g,f,n,f,w,b,k,t,e,s,s,w,w,p,w,8,e,k,s,g,e,k
,f,g,t,n,f,c,b,n,t,b,s,s,w,w,p,w,8,p,k,v,d,e,n
x,f,w,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,k,a,g,e,p
x,f,g,f,,f,w,b,h,t,e,f,f,w,w,p,w,8,e,k,s,g,e,h
x,f,n,t,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,n,v,d,e,w
x,s,g,f,n,f,w,b,h,t,e,s,f,w,w,p,w,8,e,n,a,g,e,h
f,f,w,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,n,a,g,e,p
x,f,g,t,,f,c,b,u,t,b,s,s,p,p,p,w,8,p,k,y,d,e,u
x,y,w,t,,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,g,e,w
x,y,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,8,p,n,n,m,e,k
f,s,g,f,,,w,b,p,t,e,f,s,w,w,p,w,o,e,n,s,g,e,p
,s,w,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,a,g,e,k
f,s,n,f,,f,w,b,n,t,e,f,f,w,w,p,w,8,e,k,s,g,e,n
f,s,w,f,n,,w,b,p,t,e,f,s,w,w,p,w,o,e,k,a,g,e,p
x,f,N,f,n,f,w,b,h,t,e,s,f,w,w,p,w,8,e,n,a,g,e,h
x,s,n,f,n,f,w,b,n,t,e,s,f,w,w,p,w,8,e,n,s,g,e,n
b,y,y,t,,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m,e,g
f,y,W,t,,f,c,n,k,e,e,s,s,w,w,p,w,8,p,k,v,g,p,k
,s,n,f,n,f,w,b,k,t,e,s,f,w,w,p,w,8,e,k,a,g,e,k
f,s,n,f,n,f,w,b,k,t,e,f,s,w,w,p,w,8,e,k,s,g,e,k
x,y,n,t,a,f,c,b,n,e,r,s,y,w,w,p,w,8,p,k,s,g,e,n
,s,g,f,,f,w,b,n,t,e,f,f,w,w,p,w,o,e,n,a,g,e,n
f,s,w,f,n,,w,b,k,t,e,f,s,w,w,p,w,o,e,n,a,g,e,k
x,s,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,8,p,k,v,u,p,n
f,s,g,f,n,f,w,b,n,t,e,f,f,w,w,p,w,8,e,k,a,g,e,n
x,f,w,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,s,g,e,p
,s,n,t,,f,c,n,n,e,e,s,s,w,w,p,w,8,p,k,v,g,p,n
x,f,n,f,n,f,w,b,p,t,e,s,s,w,w,p,w,8,e,n,a,g,e,p
x,s,n,f,,f,w,b,p,t,e,f,s,w,w,p,w,8,e,k,a,g,e,p
,f,n,t,n,f,c,b,u,t,b,s,s,g,p,p,w,8,p,k,v,d,e,u
f,s,w,f,,f,w,b,p,t,e,f,s,w,w,p,w,o,e,k,s,g,e,p
,s,W,t,p,f,c,n,p,e,e,s,s,w,w,p,w,8,p,n,v,u,p,p
x,f,w,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,k,a,g,e,h
,f,n,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,s,g,e,h
f,s,g,f,n,,w,b,p,t,e,f,f,w,w,p,w,o,e,n,s,g,e,p
x,f,w,f,,f,w,b,n,t,e,f,f,w,w,p,w,8,e,k,a,g,e,n
f,y,n,t,l,f,c,b,w,e,r,s,y,w,w,p,w,8,p,n,y,g,e,w
f,s,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,s,g,p,w
x,f,w,f,,f,w,b,p,t,e,s,s,w,w,p,w,8,e,n,a,g,e,p
,f,n,f,n,f,c,n,p,e,e,s,s,w,w,p,w,8,p,k,y,u,e,p
f,y,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,8,p,n,s,u,p,w
f,s,w,f,,f,w,b,n,t,e,s,f,w,w,p,w,o,e,n,s,g,e,n
x,f,g,f,,f,w,b,k,t,e,f,f,w,w,p,w,8,e,n,s,g,e,k
,y,y,t,a,f,c,b,n,e,r,s,y,w,w,p,w,8,p,n,y,p,e,n
x,f,w,f,,f,w,b,h,t,e,f,f,w,w,p,w,o,e,n,s,g,e,h
x,f,w,f,n,f,w,b,h,t,e,f,f,w,w,p,w,8,e,k,a,g,e,h
f,y,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,s,g,p,n
f,f,n,f,,,w,b,h,t,e,f,s,w,w,p,w,o,e,k,s,g,e,h
f,f,G,f,,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,s,g,e,k
x,f,n,f,n,f,w,b,n,t,e,s,s,w,w,p,w,8,e,k,s,g,e,n
x,f,n,t,,f,c,b,p,t,b,s,s,p,p,p,w,8,p,n,v,d,e,p
x,s,g,f,n,,w,b,k,t,e,f,f,w,w,p,w,o,e,k,s,g,e,k
x,s,G,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,k,a,g,e,n
,f,w,f,,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,s,g,e,k
,f,g,f,n,f,w,b,h,t,e,s,s,w,w,p,w,8,e,n,s,g,e,h
,f,n,t,n,,c,b,n,t,b,s,s,w,w,p,w,8,p,k,y,d,e,n
,s,w,f,,f,w,b,p,t,e,f,f,w,w,p,w,8,e,n,s,g,e,p
,s,w,t,p,,c,n,n,e,e,s,s,w,w,p,w,8,p,n,s,u,p,n
f,s,g,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,n,a,g,e,n
x,s,n,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,s,g,e,k
,f,n,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,k,v,d,e,p
x,y,y,t,,f,c,b,p,e,r,s,y,w,w,p,w,8,p,n,y,g,e,p
x,s,G,f,,f,w,b,k,t,e,f,f,w,w,p,w,8,e,k,a,g,e,k
x,f,n,f,n,f,w,b,h,t,e,f,s,w,w,p,w,8,e,k,a,g,e,h
,f,w,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,a,g,e,k
x,y,y,t,a,,c,b,k,e,c,s,s,w,w,p,w,8,p,n,s,g,e,k
x,f,n,t,n,f,c,b,p,t,b,s,s,g,w,p,w,8,p,k,y,d,e,p
x,f,w,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,k,a,g,e,p
x,f,w,f,,,w,b,n,t,e,f,s,w,w,p,w,8,e,k,a,g,e,n
f,s,n,t,p,,c,n,n,e,e,s,s,w,w,p,w,8,p,n,s,u,p,n
f,s,W,t,,f,c,n,k,e,e,s,s,w,w,p,w,8,p,k,v,u,p,k
x,s,n,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,k,a,g,e,p
x,f,g,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,u,e,n
f,s,n,f,n,f,w,b,p,t,e,f,f,w,w,p,w,8,e,k,s,g,e,p
,s,w,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,k,a,g,e,k
f,s,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,8,p,k,s,g,p,w
b,s,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,g,e,k
x,f,n,f,,,w,b,h,t,e,f,f,w,w,p,w,o,e,k,a,g,e,h
f,y,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,8,p,k,s,u,p,n
x,s,g,f,n,f,w,b,h,t,e,f,f,w,w,p,w,8,e,k,a,g,e,h
x,s,g,f,n,,w,b,k,t,e,s,f,w,w,p,w,o,e,n,s,g,e,k
x,s,w,f,,,w,b,n,t,e,f,s,w,w,p,w,o,e,k,s,g,e,n
f,s,w,t,,,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,u,p,n
f,s,w,f,n,,w,b,k,t,e,f,f,w,w,p,w,o,e,k,a,g,e,k
x,f,n,f,,,w,b,h,t,e,f,s,w,w,p,w,8,e,n,a,g,e,h
f,f,n,f,,f,w,b,p,t,e,s,s,w,w,p,w,8,e,n,s,g,e,p
x,f,n,f,,f,w,b,p,t,e,f,f,w,w,p,w,o,e,n,a,g,e,p
f,y,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,g,p,k
x,f,w,f,,f,w,b,p,t,e,s,f,w,w,p,w,o,e,n,s,g,e,p
f,s,w,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,a,g,e,p
f,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u,p,k
f,s,g,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,k,a,g,e,p
f,y,n,t,,f,c,b,w,t,b,s,s,w,g,p,w,8,p,n,v,d,e,w
x,f,g,f,n,,w,b,h,t,e,s,f,w,w,p,w,o,e,n,a,g,e,h
,f,g,t,n,f,c,b,u,t,b,s,s,w,p,p,w,8,p,k,v,d,e,u
x,y,N,t,n,f,c,b,p,t,b,s,s,p,w,p,w,8,p,n,v,d,e,p
f,f,n,t,n,f,c,b,n,t,b,s,s,p,g,p,w,8,p,n,y,d,e,n
,y,e,t,,f,c,b,p,t,b,s,s,p,p,p,w,o,p,k,v,d,e,p
f,s,g,f,n,f,w,b,h,t,e,f,s,w,w,p,w,8,e,n,s,g,e,h
x,f,g,t,n,f,c,b,u,t,b,s,s,p,p,p,w,8,p,n,y,d,e,u
x,y,g,t,n,,c,b,p,t,b,s,s,g,p,p,w,o,p,k,y,d,e,p
x,f,g,f,n,f,w,b,p,t,e,f,s,w,w,p,w,8,e,n,s,g,e,p
f,s,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,s,g,p,n
,f,n,t,n,f,c,b,n,t,b,s,s,g,w,p,w,8,p,k,v,d,e,n
x,s,n,t,p,,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,g,p,n
x,s,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,8,p,n,s,g,e,n
x,s,W,f,n,f,w,b,h,t,e,s,s,w,w,p,w,8,e,k,a,g,e,h
x,y,y,t,a,,c,b,g,e,c,s,s,w,w,p,w,8,p,n,s,g,e,g
x,f,G,f,,,c,b,h,e,b,k,k,n,b,p,w,o,l,h,y,g,p,h
f,s,N,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,a,g,e,k
f,s,w,f,n,f,w,b,p,t,e,f,f,w,w,p,w,8,e,n,s,g,e,p
x,f,N,t,n,,c,b,p,t,b,s,s,g,g,p,w,8,p,k,v,d,e,p
f,s,n,f,,f,w,b,h,t,e,s,s,w,w,p,w,8,e,k,s,g,e,h
x,f,n,f,n,f,w,b,h,t,e,s,f,w,w,p,w,8,e,k,s,g,e,h
x,s,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,u,p,p
f,f,N,t,n,,c,b,p,t,b,s,s,p,g,p,w,8,p,n,y,d,e,p
x,y,w,t,l,,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,g,e,k
f,f,g,f,n,,w,b,n,t,e,f,s,w,w,p,w,8,e,k,s,g,e,n
x,y,e,t,n,f,c,b,n,t,b,s,s,w,g,p,w,8,p,n,v,d,e,n
f,f,w,f,n,f,w,b,n,t,e,s,s,w,w,p,w,8,e,k,s,g,e,n
x,s,g,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,a,g,e,p
x,y,n,t,,,c,b,n,t,b,s,s,w,p,p,w,o,p,k,v,d,e,n
x,y,g,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,n,y,d,e,w
,f,g,t,n,f,c,b,u,t,b,s,s,g,w,p,w,8,p,k,v,d,e,u
f,s,w,f,n,f,w,b,n,t,e,f,s,w,w,p,w,8,e,n,a,g,e,n
,f,g,t,,,c,b,u,t,b,s,s,p,w,p,w,8,p,k,v,d,e,u
x,f,n,t,n,f,c,b,u,t,b,s,s,g,g,p,w,8,p,n,v,d,e,u
x,f,e,t,,f,c,b,w,t,b,s,s,g,w,p,w,8,p,n,v,d,e,w
,y,n,t,n,f,c,b,w,t,b,s,s,p,g,p,w,8,p,n,y,d,e,w
,f,w,f,n,f,w,b,h,t,e,f,f,w,w,p,w,8,e,n,s,g,e,h
x,y,n,t,,f,c,b,p,t,b,s,s,p,w,p,w,o,p,k,y,d,e,p
x,s,g,f,n,f,w,b,n,t,e,s,f,w,w,p,w,8,e,k,s,g,e,n
x,f,g,f,,f,w,b,h,t,e,f,s,w,w,p,w,o,e,k,a,g,e,h
f,f,w,f,,f,w,b,p,t,e,s,s,w,w,p,w,o,e,n,a,g,e,p
x,y,G,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,k,v,d,e,p
f,y,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,u,p,k
x,y,E,t,n,f,c,b,p,t,b,s,s,p,g,p,w,8,p,k,v,d,e,p
f,f,w,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,k,s,g,e,p
f,s,g,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,n,a,g,e,h
x,y,G,t,n,f,c,b,w,t,b,s,s,g,p,p,w,8,p,n,v,d,e,w
f,f,g,t,,f,c,b,p,t,b,s,s,p,w,p,w,o,p,k,v,d,e,p
,f,N,t,n,,c,b,w,t,b,s,s,g,w,p,w,o,p,k,v,d,e,w
,f,e,t,n,f,c,b,n,t,b,s,s,w,p,p,w,8,p,k,v,d,e,n
,s,w,f,n,f,w,b,h,t,e,f,s,w,w,p,w,8,e,n,a,g,e,h
,f,e,t,n,,c,b,w,t,b,s,s,w,g,p,w,o,p,n,v,d,e,w
x,f,n,t,,f,c,b,p,t,b,s,s,w,p,p,w,o,p,k,v,d,e,p
x,f,g,t,n,f,c,b,u,t,b,s,s,w,w,p,w,8,p,k,y,d,e,u
x,f,n,t,,,c,b,n,t,b,s,s,p,w,p,w,o,p,n,y,d,e,n
x,f,y,t,a,f,w,n,w,t,b,s,s,w,w,p,w,8,p,n,v,d,e,w
x,f,e,t,n,,c,b,w,t,b,s,s,g,g,p,w,o,p,n,v,d,e,w
,s,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,8,p,n,v,g,p,w
x,s,w,f,,f,w,b,h,t,e,f,f,w,w,p,w,8,e,k,s,g,e,h
x,f,e,t,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,n,y,d,e,u
,y,n,t,,f,c,b,w,t,b,s,s,p,p,p,w,o,p,k,v,d,e,w
x,f,w,f,n,,w,b,h,t,e,f,s,w,w,p,w,o,e,k,a,g,e,h
,f,g,t,n,,c,b,w,t,b,s,s,p,w,p,w,o,p,n,y,d,e,w
x,s,g,f,,,w,b,n,t,e,s,s,w,w,p,w,o,e,n,s,g,e,n
x,y,e,t,,f,c,b,w,t,b,s,s,p,g,p,w,8,p,n,y,d,e,w
x,y,n,t,n,f,c,b,u,t,b,s,s,p,w,p,w,8,p,n,v,d,e,u
x,s,w,f,,f,w,b,p,t,e,f,s,w,w,p,w,o,e,k,a,g,e,p
x,s,n,f,n,,w,b,n,t,e,s,f,w,w,p,w,8,e,k,a,g,e,n
x,s,w,f,n,,w,b,n,t,e,s,s,w,w,p,w,o,e,k,s,g,e,n
x,s,N,f,n,f,w,b,n,t,e,s,f,w,w,p,w,8,e,k,s,g,e,n
,f,e,t,n,f,c,b,n,t,b,s,s,p,g,p,w,8,p,n,y,d,e,n
f,f,w,f,n,f,w,b,n,t,e,s,f,w,w,p,w,8,e,k,a,g,e,n
f,f,g,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,a,g,e,k
x,y,e,t,n,,c,b,w,t,b,s,s,g,g,p,w,8,p,n,v,d,e,w
x,f,e,t,n,,c,b,p,t,b,s,s,p,w,p,w,o,p,n,y,d,e,p
x,y,g,t,n,,c,b,u,t,b,s,s,w,w,p,w,o,p,n,v,d,e,u
x,f,e,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,k,y,d,e,p
,s,n,f,,f,w,b,h,t,e,s,s,w,w,p,w,8,e,n,s,g,e,h
x,s,w,f,n,f,w,b,n,t,e,s,s,w,w,p,w,8,e,k,a,g,e,n
x,s,w,f,n,,w,b,h,t,e,s,f,w,w,p,w,8,e,k,a,g,e,h
x,f,w,f,,f,w,b,k,t,e,s,s,w,w,p,w,8,e,n,a,g,e,k
x,f,e,t,n,f,c,b,u,t,b,s,s,g,p,p,w,8,p,n,v,d,e,u
,f,n,t,n,,c,b,u,t,b,s,s,g,g,p,w,o,p,n,y,d,e,u
f,f,n,t,,f,c,b,w,t,b,s,s,g,p,p,w,o,p,k,v,d,e,w
f,f,w,t,l,,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d,e,p
f,f,w,f,,f,w,b,k,t,e,f,f,w,w,p,w,8,e,k,a,g,e,k
f,y,w,t,p,,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,g,p,n
,f,g,t,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,k,v,d,e,n
x,f,n,t,,,c,b,w,t,b,s,s,w,g,p,w,8,p,n,v,d,e,w
x,s,W,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,n,a,g,e,k
x,f,w,f,,f,w,b,h,t,e,f,f,w,w,p,w,8,e,n,a,g,e,h
,s,n,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,a,g,e,h
